genename,geneCategory,subcategory1,subcategory2,source,X09_11_N_N_0,X09_13_N_N_0,X09_19_N_N_1,X09_23_N_N_1,X09_24_N_N_0,X09_3_N_N_1,X09_6_N_N_1,X09_8_N_N_0,X10_11_N_N_0,X10_13_N_N_0,X10_19_N_N_1,X10_23_N_N_1,X10_24_N_N_0,X10_3_N_N_1,X10_6_N_N_1,X10_8_N_N_0,X11_11_N_N_0,X11_13_N_N_0,X11_19_N_N_1,X11_23_N_N_1,X11_24_N_N_0,X11_3_N_N_1,X11_6_N_N_1,X11_8_N_N_0,X12_11_N_N_0,X12_13_N_N_0,X12_19_N_N_1,X12_23_N_N_1,X12_24_N_N_0,X12_3_N_N_1,X12_6_N_N_1,X12_8_N_N_0,X13_11_N_N_0,X13_13_N_N_0,X13_19_N_N_1,X13_23_N_N_1,X13_24_N_N_0,X13_3_N_N_1,X13_6_N_N_1,X13_8_N_N_0,X14_11_N_N_0,X14_13_N_N_0,X14_19_N_N_1,X14_23_N_N_1,X14_24_N_N_0,X14_3_N_N_1,X14_6_N_N_1,X14_8_N_N_0
GAPDH_Calvin,C Cycling,Carbon Fixation,Calvin cycle,Bacteria;phylum,21387.9394,21180.0727,21023.167,20691.1563,20994.2743,20981.752,19505.701,21073.9026,21375.417,20517.3481,23289.4061,22126.6628,20230.277,24039.2197,20281.8736,17468.172,20669.2328,20334.187,20397.9597,21817.0444,20723.8568,22042.9908,19234.815,20161.005,21447.043,21755.7657,22321.1988,24902.6516,22499.9371,23211.354,20943.3151,20841.2023,19327.9883,19515.289,22615.0769,21437.5806,21355.6114,21165.2081,22829.896,20223.8042,21228.734,20091.711,21895.3112,21165.7824,20473.561,23162.0955,20955.8138,20978.1932
Isopullulanase,C Cycling,Carbon Degradation,Starch,Bacteria;phylum,2121.738,2323.595,1901.538,2437.23,2524.672,2289.115,2335.791,3729.031,2051.618,1955.216,1482.932,1521.797,2309.12,1908.6,1902.471,2831.06,2351.6,2531.82,2893.398,2829.205,2444.847,2514.828,1878.368,1772.77,2996.637,2598.121,2483.712,2548.147,3348.692,2587.746,2760.878,2994.213,3175.602,1810.26,2004.125,1806.88,2206.918,2295.797,1724.786,2474.954,1879.189,3028.137,2226.707,2256.957,2278.24,2731.196,2372.211,2508.501
Limeh,C Cycling,Carbon Degradation,Terpenes,Bacteria;phylum,2095.9,2121.555,1997.034,1796.728,1889.357,1729.927,2155.996,2485.569,2010.953,2495.882,1136.299,2007.493,2847.943,2130.099,2194.112,5200.467,2043.458,3453.093,2585.208,2546.237,2371.138,2729.599,1425.382,1352.061,2532.44,3355.953,2253.108,2592.054,2958.719,2852.606,3085.25,2953.101,2817.423,2259.949,1500.058,2254.865,2283.223,1709.114,1541.336,1716.889,2130.116,2366.859,2887.193,2215.68,2588.845,2335.905,2749.096,2918.881
Mannanase,C Cycling,Carbon Degradation,Hemicellulose,,8820.725,7910.579,6350.658,7772.647,9513.942,7903.963,7256.3258,8467.093,8844.867,8096.8162,8765.059,7303.9369,9050.829,7653.5433,7519.0435,8936.54,8372.1724,9710.638,8679.525,8918.732,9105.799,9080.223,7880.7164,9301.544,8328.488,10143.629,8212.464,9464.143,10627.15,9121.886,8808.932,9440.573,8611.063,8064.118,7572.666,7276.1523,9508.348,7329.8798,7642.165,9375.533,8610.772,9899.732,9648.142,9133.403,9205.7298,8144.965,7999.917,9214.223
Mch_methane,C Cycling,Methane Metabolism,Methanogenesis,Archaea;phylum,3972.655,3676.662,3722.808,4080.956,4006.816,3853.537,3761.812,3153.227,3408.548,3618.992,4141.114,3656.434,3670.028,3827.936,3870.255,2556.906,3711.699,3306.96,3633.86,3395.28,3537.237,3186.057,3213.079,3645.226,3371.062,3551.853,3146.202,4179.14,3699.409,3512.596,3909.916,2832.066,3187.223,3050.759,3719.613,3414.192,3313.993,3776.3,3906.359,3525.744,3409.929,3204.432,3586.921,3387.492,3322.593,3621.551,3014.539,3211.824
Mcra,C Cycling,Methane Metabolism,Methanogenesis,,12502.036,13223.614,13089.855,12190.309,10940.347,11998.377,13339.31,10295.458,9654.657,12218.596,13075.457,12062.007,12658.076,12248.93,12930.858,8854.546,10576.56,11115.232,11617.381,11633.368,10897.44,11233.1,11903.885,10877.839,10754.196,9880.497,10956.289,11382.36,10009.815,9845.498,10978.573,11100.686,8717.285,12636.712,11874.794,11731.79,11602.658,11647.614,12146.214,11535.447,10211.115,10308.526,10807.129,10879.193,10231.69,11064.952,11795.945,10357.443
Mer_methane,C Cycling,Methane Metabolism,Methanogenesis,Archaea;phylum,2078.446,2458.136,2052.704,2337.529,2741.259,2055.179,2371.881,2927.275,2203.681,2692.36,1967.012,2568.295,3304.704,2607.544,2888.076,3646.331,2475.044,2940.187,3147.074,2990.281,2949.087,3135.745,2422.26,2355.039,2959.734,3469.644,2504.547,2960.684,3326.693,2915.904,2736.457,3083.533,3968.489,2801.812,2086.983,2270.121,2862.505,2119.469,2134.646,2777.368,3305.176,2903.307,3365.215,2907.784,3330.911,2871.577,2877.022,3060.972
NplT,C Cycling,Carbon Degradation,Starch,Archaea;phylum,4264.796,4138.649,3870.695,4958.992,3611.332,4188.422,5301.901,3246.817,2988.399,3747.752,4418.873,5528.298,3835.381,3309.992,4735.026,3280.796,3535.457,2599.706,4509.062,4882.278,3139.35,3113.214,3237.599,2928.585,3655.745,2559.081,7150.201,4040.867,4064.623,3118.812,2452.701,2721.07,4335.226,3893.944,4214.746,4347.76,3272.049,3831.186,3503.305,3511.571,4850.909,2716.749,3468.088,4993.844,4248.813,4443.332,3318.051,3891.728
OorA,C Cycling,Carbon Fixation,Reductive tricarboxylic acid cycle,Bacteria;phylum,2603.304,2278.63,2891.033,2285.225,2627.033,2813.24,2443.484,2935.5,3618.515,3576.073,3666.504,3978.029,2798.055,2483.959,3494.932,4332.313,2556.046,2803.358,2818.569,2795.075,2718.618,3030.478,2709.681,3009.345,3101.858,2887.503,2346.459,2324.868,2934.891,3434.257,2173.399,3338.269,3034.319,3236.504,2361.915,2075.965,2975.907,2444.664,1592.682,3723.587,3023.825,3116.331,2651.303,2759.497,2016.169,3120.917,2902.722,3559.849
Pcc,C Cycling,Carbon Fixation,multiple systems,Archaea;phylum,12733.607,14256.4439,12212.0988,13650.2587,15328.2547,12777.4816,12750.1926,12819.5624,12546.21,13225.5763,12983.0568,13507.4275,14653.7535,12667.9456,13152.7887,15589.1147,13731.8487,15099.9638,14222.0115,15310.674,13465.3487,14221.2249,13107.7614,13354.005,13063.6007,15721.3842,13338.8012,13758.0998,15883.4116,14142.8816,13634.8318,14042.6858,13162.0498,13512.595,13004.07,14307.133,14080.2941,13447.06,12131.4662,13013.8166,13099.6084,14168.309,13678.8304,14243.2882,12317.123,13278.7337,12298.1728,14255.9792
Pectinase (pectate_lyase),C Cycling,Carbon Degradation,Pectin,Bacteria;,969.3975,677.3354,762.8912,725.1357,669.368,959.3334,1035.067,1083.985,1201.962,693.1764,1060.356,922.8181,878.3344,1312.771,1050.308,590.6392,996.4559,687.6306,619.3523,591.8281,677.7362,849.8468,1281.954,0,1210.019,996.3273,956.4792,2310.094,1205.203,1770.22,1544.342,1201.21,989.852,0,1029.049,673.5714,599.4977,1088.066,1543.283,1093.721,1148.701,1255.27,890.6005,1103.13,844.8839,1146.66,1301.905,1583.372
Pme,C Cycling,Carbon Degradation,Pectin,Archaea;phylum,6333.33,5307.965,5647,5057.105,4947.65,5538.323,4971.828,5979.559,6576.502,5414.659,5032.076,4507.467,5018.361,4898.224,4865.946,5230.482,5877.046,5558.499,5218.712,5769.332,5987.655,5569.161,6137.32,5217.837,6084.355,6996.472,5565.258,5276.504,5216.962,5145.63,5252.392,5749.759,5865.912,5605.59,4789.565,5241.38,5144.404,5389.062,4496.027,5367.179,5682.149,5544.061,5515.806,4988.51,5837.947,5634.904,4631.559,5875.62
Por_DiC4HB,C Cycling,Carbon Fixation,Dicarboxylate/4-hydroxybutyrate cycle,Archaea;phylum,794.7711,671.6899,957.4056,966.9462,780.897,1095.456,657.0085,732.8986,912.814,816.9243,711.2971,865.605,923.6908,983.8269,789.5324,992.9435,884.2399,891.8951,716.5704,1656.628,829.7432,993.7433,708.4702,931.9502,687.8201,831.6455,798.4795,977.8012,694.602,915.9167,907.8152,772.4661,826.1586,853.4969,882.2642,920.9803,795.5277,1098.06,978.173,670.3494,849.8943,725.0537,911.9724,758.6689,857.8599,727.1068,614.8496,606.5039
PRI,C Cycling,Carbon Fixation,Calvin cycle,Bacteria;phylum,46731.884,50231.884,49648.708,48270.211,48786.699,50348.619,51464.099,38343.652,37752.449,46461.53,44491.257,48236.027,46310.86,44093.304,45559.922,38602.957,43122.19,45556.598,48990.592,47728.597,45515.013,45671.926,46765.16,42838.752,41443.446,41632.532,48904.832,40504.849,39095.649,42737.159,42928.83,42678.863,39117.342,51394.743,52638.31,48936.807,43282.161,52663.73,50991.353,48987.05,46260.809,43116.691,41139.488,38973.132,40159.808,44166.341,44738.233,42012.604
Pula,C Cycling,Carbon Degradation,Starch,Bacteria;order,1705.357,2098.058,1908.027,2005.328,2066.704,1864.928,1823.98,1961.674,1825.452,2373.866,1631.472,2125.815,2799.621,1997.158,2279.485,3227.097,2313.984,2762.091,2861.758,3102.942,2897.498,2919.218,2405.254,2718.457,2475.676,2656.876,2081.539,2315.755,2548.469,2485.139,2473.22,2300.508,2511.604,2210.353,1925.276,2057.849,2834.896,1782.804,1823.537,2162.212,2718.745,2778.762,2745.976,2385.619,2464.173,1932.724,2112.64,2730.291
Rgl,C Cycling,Carbon Degradation,Pectin,Archaea;phylum,3226.988,3587.275,3115.3,3244.772,3125.749,3711.921,3124.653,3710.378,2730.299,2490.182,2916.688,2299.747,2428.365,3197.695,3139.111,3239.045,2434.542,2556.756,2906.381,2851.78,2564.044,3189.977,3268.799,2115.592,3011.264,2145.428,3182.425,2401.328,2579.995,2780.798,2894.299,2400.863,2363.57,3629.801,3898.845,3670.88,2752.063,3513.762,3310.05,3053.589,3118.372,2771.873,2439.352,2362.577,2393.198,3033.991,3047.006,2762.909
Rubisco,C Cycling,Carbon Fixation,Calvin cycle,Archaea;,7508.88,8078.385,6535.3755,8051.649,7652.501,7474.354,6904.567,9930.289,7840.096,8233.264,6525.811,6870.2309,6955.1138,6805.162,6565.4659,9576.787,7588.1431,8412.799,7508.828,7689.951,8170.407,8079.168,6915.9997,7222.276,8853.508,8837.513,7789.137,8049.39,8961.895,8974.937,8176.076,9145.679,8813.59,7235.0911,7104.4992,7077.052,7814.684,7776.019,6857.4204,7531.648,7508.467,7881.465,7904.178,7114.911,7855.376,7611.329,7880.679,8645.992
TIM,C Cycling,Carbon Fixation,Calvin cycle,Bacteria;phylum,11909.719,12499.3581,11929.278,11227.3147,11603.0989,12835.487,12111.0944,11028.824,10701.756,13253.3609,13053.85,12950.5106,13311.9432,13348.0466,14870.7955,12604.926,12077.8887,12735.462,14104.206,12999.5186,13261.4492,13622.8623,13200.238,11989.6862,11895.8911,11413.864,14023.3501,11114.2833,10710.1259,13361.117,12759.031,12208.9257,12460.2145,13578.1441,12610.1595,12695.4759,14317.2107,13370.075,12317.833,13109.316,12620.3375,11920.9621,11379.636,12320.3459,11831.335,14056.4083,14621.2787,13972.0515
Xylanase,C Cycling,Carbon Degradation,Hemicellulose,Archaea;phylum,7569.553,7703.0461,7294.0026,7670.4768,7434.5624,7277.2217,7555.2358,8405.0507,6282.029,7652.3583,6002.4336,7202.4138,6906.4522,6043.9682,7529.0807,10514.523,7475.0554,7715.4177,7780.661,8745.6506,7158.9453,7499.2358,7127.2772,7331.2289,8012.634,8669.8696,7473.4157,7097.6345,9112.9667,8098.3437,6694.8679,8623.655,7148.5841,7081.2352,7818.7308,7291.357,8516.1373,6934.1934,7338.0535,9723.479,8157.185,9399.4233,7631.6206,8152.913,6213.514,7525.2258,7521.8081,7548.3582
BchG,Electron transport,Photosynthetic,Bacteriochlorophyll,Bacteria;phylum,1696.501,868.0298,1238.94,881.8527,867.1547,2443.937,1059.058,1382.657,1737.466,1371.858,1355.636,1032.685,905.8716,1695.851,2032.616,967.8202,776.66,812.8635,2844.244,1220.119,1084.431,2476.624,1353.761,1016.539,1998.505,835.5353,2315.393,960.4928,1135.957,3039.785,973.7806,2310.984,1011.34,1058.407,1496.476,1105.337,1088.511,1650.38,844.7857,937.5216,1564.127,780.3829,2839.079,917.6494,1085.749,1732.218,1661.487,1391.529
C_type_cytochrome_b,Electron transport,Cytochrome,c-type,Bacteria;phylum,2889.177,2355.796,2426.014,2444.772,2693.882,2159.753,2266.486,1627.772,3431.614,2729.548,3548.708,2512.053,3055.43,2624.376,2249.084,3360.258,3152.327,2910.498,2850.049,2415.707,3399.802,2678.747,2793.582,3183.43,2035.337,2661.779,2094.721,2156.004,2649.014,2689.464,2279.843,2538.942,2327.683,2697.45,1987.165,2180.588,3782.637,1904.919,2130.821,2986.445,2823.35,2924.77,2613.003,2923.894,2937.356,2436.361,2014.094,2692.248
LPOR,Electron transport,Photosynthetic,Bacteriochlorophyll,Archaea;phylum,5284.135,5029.405,4586.201,5574.656,4019.504,4740.151,5093.186,3642.271,1848.431,3888.203,4338.251,6501.655,2877.429,4255.809,4932.367,2473.332,2706.629,2826.072,2295.793,4191.706,2826.64,1838.175,3444.098,2317.55,2374.627,2062.394,2478.526,2190.599,2429.811,2065.785,1920.316,1894.902,1874.384,6093.835,4355.702,4218.408,2416.756,4836.756,5157.482,3408.234,2778.319,2355.187,2276.044,2269.595,1327.324,2774.676,2018.596,1859.236
Lycopene_beta_cyclase,Electron transport,Photosynthetic,Carotenoid,Archaea;phylum,721.7884,677.4703,796.0882,685.6205,684.656,764.1105,1005.436,660.0476,0,996.5353,683.3663,645.6577,725.3898,773.4819,764.5783,671.9292,0,748.2542,739.9085,792.4004,812.7626,728.5061,971.3884,0,570.7693,0,736.6859,721.5777,799.2714,0,653.1513,762.2025,703.045,812.0886,642.203,0,697.2979,707.9177,747.5313,0,735.8965,0,612.3019,864.9605,0,571.9339,594.245,0
P450,Electron transport,Cytochrome,other,Archaea;phylum,895.8886,1047.057,1084.934,942.2287,1111.765,1061.139,1033.706,1033.752,1064.667,1050.721,960.8063,1059.741,810.8095,1067.424,982.3537,847.6776,1005.949,854.4767,813.6293,1082.571,917.2151,861.0812,932.3924,1213.059,993.5206,1269.48,977.7713,1068.433,889.6761,1362.516,865.4374,1221.466,1003.13,1164.366,813.1627,791.3196,1185.956,706.6125,842.426,1249.733,1379.607,1226.639,1245.232,0,1039.4,905.7672,1142.392,1243.927
PebA,Electron transport,Photosynthetic,Bilin,Bacteria;phylum,17714.19,16650.46,16746.48,16340.41,15170.48,16563.01,18027.18,12769.86,13749.55,18236.79,19024.85,18980.12,16422.12,15654.78,18911.64,14466.04,15355.79,14158.88,16203.32,16442.16,16001.95,15157.37,17185.83,17922.33,14654.76,13936.42,17749.66,15808.99,13805.49,15483.51,14897.52,13540.04,11312.52,15903.92,16895.41,14963.79,16700.72,15814.54,19046.43,17784.91,17990.76,15537.57,15555.62,17691.22,18590.73,15697.56,14378.43,15514.71
Phytoene_desaturase_protist,Electron transport,Photosynthetic,Carotenoid,,0,803.0913,818.614,940.9358,825.0067,956.7568,800.5797,1072.266,0,762.0115,887.2613,919.2977,685.0369,809.8682,684.4308,1076.563,0,672.8953,682.5923,858.2469,996.4363,690.8548,688.3991,0,682.9045,833.1037,1066.175,1639.492,1183.606,2703.892,697.453,875.6179,876.306,856.359,797.0218,1010.765,900.7189,733.2485,1038.248,782.6884,1171.264,618.791,1347.764,1189.8,0,1052.558,774.3201,882.2309
Phytoene_synthase_protist,Electron transport,Photosynthetic,Carotenoid,Eukaryota;genus,2944.32,2257.659,1922.266,1962.425,2200.599,2468.069,1851.274,2704.906,2018.928,2630.925,1123.88,1668.346,2301.132,2332.581,1893.855,3555.292,2482.837,2765.919,2574.778,2613.188,2742.487,2349.134,2109.088,2103.65,2356.237,2277.707,2131.164,1843.625,1804.908,1668.583,2179.191,2875.195,3380.804,2828.085,2169.13,2820.692,2118.327,2404.512,1886.333,2945.432,2177.898,2815.322,2117.113,1864.644,2168.298,4823.897,2233.339,2501.498
Axe,Fungi,Carbon degradation,Cellulose,Eukaryota;kingdom,3746.625,3506.613,3721.22,3921.253,3279.577,3554.95,3898.918,3250.332,2716.463,3363.903,4683.452,3750.303,3105.941,4509.352,3541.728,2607.52,2732.837,2839.771,2759.277,3134.405,3068.24,2853.279,2833.34,2663.264,3193.7,2600.205,2912.079,2921.267,2652.785,2661.627,2967.695,2997.327,2724.412,3908.991,5085.497,3746.091,2800.522,3528.187,3629.112,4081.007,4059.405,2883.111,3006.43,3191.884,2301.509,3148.536,3553.565,3137.86
Cutinase,Fungi,Carbon degradation,Cutin,Bacteria;,49672.4224,53193.2816,51613.0864,52517.1506,49631.3927,48891.0359,55898.5035,43287.301,45644.706,50508.7476,51603.3192,59373.8108,49397.7327,52074.941,54934.1375,43958.523,46608.2444,47947.3192,50603.9967,51010.4967,47804.8147,50104.3431,49136.2836,48306.9161,45806.1595,43718.4662,49856.469,49570.0143,44873.9435,47253.9941,45705.3849,44806.5189,41525.9355,52831.3253,54230.9464,50888.2885,48169.5319,51814.4385,53283.7598,52140.1081,50833.3192,44463.4342,47538.8556,47355.136,43614.474,48036.4268,48118.4039,43409.0834
DmaW_ergot,Fungi,Virulence,Toxin,Eukaryota;kingdom,0,619.4881,566.6694,727.761,1055.225,0,0,752.4268,0,611.4674,0,0,618.3992,0,0,1054.185,0,671.3336,864.8018,608.833,663.3694,0,0,779.4352,703.4631,688.4529,700.9441,647.562,739.5447,0,680.2279,577.2863,639.7384,0,0,0,824.1836,644.0655,585.7205,699.78,759.3459,817.0454,671.8187,0,0,685.2074,645.7954,702.3676
Exoglucanase,Fungi,Carbon degradation,Cellulose,Bacteria;phylum,785.1719,687.7173,737.677,645.6953,656.9223,746.8708,890.3487,870.9662,0,770.2607,708.6408,1137.578,847.0513,865.9666,1154.46,747.2882,0,832.9746,1211.417,977.3517,1026.452,887.5152,692.6797,0,882.7685,987.3894,1334.725,1159.526,1187.336,1270.868,760.5635,916.7594,1265.952,0,648.706,773.4496,794.42,794.6568,0,706.311,893.8903,629.5717,711.8224,1359.961,821.2784,1362.636,885.7267,771.9801
Exopolygalacturonase_fungi,Fungi,Carbon degradation,Pectin,Eukaryota;kingdom,1671.035,2048.532,2004.207,1664.703,1994.632,1959.276,1373.351,3032.767,1709.497,3112.352,1546.498,2729.288,2264.15,1820.181,2947.526,4448.056,1784.348,3289.086,2405.767,2205.716,2302.228,2392.28,2058.5,1415.486,2896.42,2738.864,1579.105,2030.089,2479.982,1959.996,2390.607,2697.995,3172.712,2621.358,1975.762,2067.967,1954.524,2094.464,2196.748,1956.406,2154.067,1937.317,2602.681,2158.685,2374.466,2333.759,1964.141,3245.629
P450aro,Fungi,Organic Remediation,Aromatics,,6842.568,5123.32,5394.913,5928.097,6127.051,5723.751,7661.698,5724.743,3976.12,6795.088,5451.654,7228.893,5177.786,6396.387,9399.311,4746.491,5519.554,4869.173,5872.671,5851.752,4944.121,6588.866,6692.671,5473.309,7188.995,4812.458,5757.255,6218.797,3776.183,7372.822,4529.242,6614.218,5792.023,6853.398,6273.396,5961.809,5641.984,7576.581,5009.652,8333.042,5987.938,5459.849,5115.178,5925.423,5132.089,7684.931,7294.603,7707.136
Pec_Cdeg,Fungi,Carbon degradation,Pectin,Eukaryota;kingdom,3064.887,2686.131,3240.859,3603.151,2824.653,2485.772,3197.285,2958.153,2111.176,3134.507,2989.598,3409.094,2907.284,2838.721,3691.463,3153.645,2522.012,2598.752,3172.706,3475.261,2921.548,2913.49,2394.236,2545.253,3203.236,2683.315,2796.016,2719.772,2651.583,2926.673,2743.988,2661.51,2731.784,3351.461,3446.31,3130.234,3145.012,3887.185,2506.135,3152.834,2632.59,2444.555,2069.462,3098.47,2320.916,3256.843,3340.967,3120.458
Phospholipase_A2_fungi,Fungi,Carbon degradation,Phospholipids,,824.8689,836.646,904.5873,900.2999,911.7444,807.0601,822.2275,836.0659,948.0947,1186.821,1255.973,1056.7,1175.828,712.6274,800.4203,650.3963,1178.963,1011.98,865.3056,980.5644,1000.846,928.9893,776.0706,1236.827,854.4052,923.3041,805.2374,1170.422,861.3059,776.6405,719.5779,729.7208,833.3182,727.2651,620.9986,762.3612,1231.188,650.6058,797.9577,1196.758,1031.156,1024.57,971.4397,1062.078,1317.002,851.3243,743.9586,935.2382
Phospholipase_C_fungi,Fungi,Carbon degradation,Phospholipids,Eukaryota;kingdom,843.2237,709.113,745.1355,685.1777,584.5405,656.6085,701.2732,581.9635,0,593.1801,1280.313,1864.618,622.0953,600.6515,676.9691,956.5457,0,774.7335,622.8568,714.5874,764.3988,817.804,666.5866,727.4329,966.8921,711.2503,771.3811,917.2591,746.6566,993.772,982.7302,902.0305,534.6057,603.2204,692.6456,554.5746,870.3781,742.1356,759.5948,848.0678,644.977,774.1683,750.6917,769.3255,0,767.6045,1188.071,804.4781
