Sample_name,temperature,moisture.new.samplingmonth,moisture.new.year,TOC,TN,pH,NH4-N,NO3-N,FlTotl,FlC4,FlC3,plant richness,precipitation_Samplingmonth,precipitation_annual_cm,SPEI,ER,GPP,NEE,Autotrophic,Heterotrophic,total_soil_respiration
X10_19_N_N_1,16.3720066,4.6,11.2,0.735,0.08,6.37,2.57,1.84,626,132,494,7,7.8,90.07,-0.5615,3.679079873,4.210570452,0.531490579,0.69,2.205833333,2.895833333
X10_23_N_N_1,16.1802696,10.35,12.9625,1.008,0.093,6.63,4.64,0.85,626,68,558,1,7.8,90.07,-0.5615,3.873619761,5.26221487,1.388595109,1.470833333,2.280833333,3.751666667
X10_24_N_N_0,16.36951269,5.3,10.675,0.509,0.061,7.27,2.69,3.39,599,111,488,6,7.8,90.07,-0.5615,5.555783121,7.968190153,2.412407032,1.155833333,2.188333333,3.344166667
X10_3_N_N_1,15.82261826,10,11.8375,0.712,0.073,6.38,3.68,2.2,464,174,290,6,7.8,90.07,-0.5615,4.639439963,5.71484349,1.075403527,1.3325,1.9375,3.27
X10_6_N_N_1,16.27367226,4.4,9.9125,0.483,0.065,6.2,2.37,7.19,531,68,462,4,7.8,90.07,-0.5615,4.314427801,5.964107425,1.649679624,1.4125,1.6,3.0125
X10_8_N_N_0,16.95094195,6.45,9.25,0.569,0.076,6.37,3.19,7.52,444,66,378,4,7.8,90.07,-0.5615,4.939049449,6.993034231,2.053984782,1.830833333,1.911666667,3.7425
X11_11_N_N_0,18.93352231,4.15,6.95,0.761,0.081,6,1.97,37.3,241,66,175,6,13.3,55.01,-1.94791,3.88967447,6.596561957,2.706887486,1.500833333,1.990833333,3.491666667
X11_13_N_N_0,18.47283839,3.183333333,6.533333333,2.041,0.192,5.79,5.53,49.48,249,77,173,5,13.3,55.01,-1.94791,4.721598337,7.543660139,2.822061802,1.725555556,1.518333333,3.243888889
X11_19_N_N_1,18.21092162,5.233333333,6.711111111,1.524,0.15,6.08,3.47,56.1,241,78,163,7,13.3,55.01,-1.94791,3.696627521,5.536897509,1.840269989,1.895,1.518333333,3.413333333
X11_23_N_N_1,18.59819869,5.4,7.474074074,0.724,0.078,6.17,2.27,16.95,238,77,161,5,13.3,55.01,-1.94791,3.671418795,6.113634974,2.442216179,1.560833333,1.964166667,3.525
X11_24_N_N_0,18.02925567,5.683333333,6.65,2.382,0.22,5.74,10.44,66.8,266,71,195,5,13.3,55.01,-1.94791,4.082075005,6.451184533,2.369109527,0.7325,1.828333333,2.560833333
X11_3_N_N_1,18.09830804,4.95,6.625925926,0.541,0.074,6.03,1.89,14.91,283,68,215,7,13.3,55.01,-1.94791,3.406908115,5.22095156,1.814043445,0.95,1.335,2.285
X11_6_N_N_1,18.27392987,3.966666667,6.427777778,0.82,0.102,5.66,3.73,61.7,249,68,181,5,13.3,55.01,-1.94791,3.419686577,4.971760056,1.552073478,1.927222222,0.828055556,2.755277778
X11_8_N_N_0,19.28745411,3.616666667,5.212962963,2.079,0.194,5.71,8.88,86.2,247,66,181,4,13.3,55.01,-1.94791,4.08299141,6.303931554,2.220940144,1.311666667,1.135833333,2.4475
X12_11_N_N_0,20.39791026,2.916666667,6.631481481,1.387,0.14,6.2,5.65,19.68,357,5,352,5,0.5,70.24,-1.25625,2.653363776,3.290281502,0.636917726,1.79,1.406666667,3.196666667
X12_13_N_N_0,17.79150234,6.15,7.662962963,1.326,0.128,6.34,4.76,24.36,295,5,290,5,0.5,70.24,-1.25625,3.108928106,4.696327712,1.587399607,0.8825,1.55625,2.43875
X12_19_N_N_1,17.66184196,8.233333333,9.061111111,0.944,0.102,6.04,4.38,29.54,323,183,140,2,0.5,70.24,-1.25625,4.62119183,6.31317727,1.69198544,2.78625,1.084166667,3.870416667
X12_23_N_N_1,17.91165403,9.333333333,9.975925926,1.723,0.157,5.95,6.65,27.2,233,5,228,4,0.5,70.24,-1.25625,3.481514999,4.54674919,1.065234191,1.792083333,0.983333333,2.775416667
X12_24_N_N_0,17.64464235,3.766666667,10.02222222,1.294,0.115,6.37,3.81,16.66,340,91,249,2,0.5,70.24,-1.25625,4.02579409,4.805487378,0.779693289,1.334166667,0.99875,2.332916667
X12_3_N_N_1,19.85065152,6.083333333,9.388888889,0.825,0.092,6.39,2.98,16.44,312,5,307,4,0.5,70.24,-1.25625,4.922731776,6.612274597,1.689542821,1.634166667,0.983333333,2.6175
X12_6_N_N_1,19.19575798,6.883333333,10.6537037,0.869,0.101,5.96,5.37,16.75,267,5,262,4,0.5,70.24,-1.25625,3.821657282,5.848346942,2.02668966,2.415833333,0.26,2.675833333
X12_8_N_N_0,19.52492149,8.2,9.581481481,2.037,0.194,6.15,6.74,78.45,289,91,198,5,0.5,70.24,-1.25625,3.39236872,4.03650609,0.64413737,2.029166667,0.565,2.594166667
X13_11_N_N_0,17.57948675,17.33222222,17.44551848,0.652,0.078,6.62,4.01,1.9,84.95832468,40.9723092,43.98601548,3,8.1,99.38,0.03527,2.981466778,5.606303125,2.624836346,1.169166667,1.783055556,2.952222222
X13_13_N_N_0,16.00826855,14.16537037,16.82412651,1.05,0.112,6.36,3.68,1.93,275.1440381,121.6444738,153.4995643,5,8.1,99.38,0.03527,2.999822466,4.28650423,1.286681764,0.916458333,1.491770833,2.408229167
X13_19_N_N_1,15.94106799,13.67703704,16.54441221,0.942,0.106,6.26,3.37,3.75,150.9950307,131.987059,19.00797173,4,8.1,99.38,0.03527,3.994096065,5.521972925,1.527876859,1.375520833,2.132847222,3.508368056
X13_23_N_N_1,16.42034861,15.19222222,17.14901163,1.16,0.113,6.28,3.15,1.65,254.0122922,28.56120695,225.4510853,5,8.1,99.38,0.03527,4.038664885,6.114549266,2.075884381,0.383506944,2.404444444,2.787951389
X13_24_N_N_0,16.164878,9.90337963,16.04219004,0.897,0.102,7.04,3.57,2.71,335.8978077,251.9610474,83.93676032,6,8.1,99.38,0.03527,2.908807704,4.990119853,2.081312149,0.703263889,2.0828125,2.786076389
X13_3_N_N_1,16.68461503,16.15768519,18.10331405,0.772,0.091,6.41,2.54,3.52,82.31685643,28.56120695,53.75564948,7,8.1,99.38,0.03527,2.990479804,5.016509627,2.026029823,1.522013889,1.209444444,2.731458333
X13_6_N_N_1,16.71905034,13.99240741,16.78071574,0.716,0.091,6.17,2.9,6.23,166.8438402,38.90379216,127.940048,4,8.1,99.38,0.03527,2.369703856,5.108256723,2.738552867,1.602152778,0.949166667,2.551319444
X13_8_N_N_0,16.98176181,14.5837963,17.35343053,0.857,0.094,6.37,3.08,5.66,565.7055448,456.7442345,108.9613103,6,8.1,99.38,0.03527,2.240723315,3.382195024,1.141471709,1.613263889,1.267916667,2.881180556
X14_11_N_N_0,17.16589637,6.48,11.77,0.436,0.063,6.29,2.45,10.43,85.977,70.365,15.612,3,5.8,60.99,-0.87321,1.39291124,3.672003642,2.279092403,1.196597222,1.75775463,2.954351852
X14_13_N_N_0,17.13710425,7.43,9.8,1.292,0.132,6.17,4.34,13.56,103.071,82.539,20.532,4,5.8,60.99,-0.87321,1.447814246,2.270373978,0.822559732,0.880954861,1.476397569,2.357352431
X14_19_N_N_1,17.00508529,7.8,12.47,1.365,0.137,6.08,4.44,14.45,165.749,155.057,10.692,4,5.8,60.99,-0.87321,3.672946355,5.598588258,1.925641903,0.786293403,2.385237269,3.171530671
X14_23_N_N_1,17.27083114,7.2,11,1.11,0.108,5.88,9.65,12.71,182.843,139.351,43.492,3,5.8,60.99,-0.87321,2.164266612,3.463765618,1.299499006,0.181958912,2.706203704,2.888162616
X14_24_N_N_0,16.96312681,7.55,10.3,0.771,0.078,6.05,3.15,4.44,171.447,162.395,9.052,5,5.8,60.99,-0.87321,2.28598114,3.093072109,0.80709097,0.494855324,2.287317708,2.782173032
X14_3_N_N_1,16.98552004,11.9,11.17,0.645,0.08,6.04,2.75,13.49,80.279,66.307,13.972,3,5.8,60.99,-0.87321,2.86065106,5.648362933,2.787711873,1.311001157,1.45662037,2.767621528
X14_6_N_N_1,16.60254704,8.38,10.17,0.67,0.078,5.8,3.13,13.27,85.977,70.365,15.612,5,5.8,60.99,-0.87321,1.681880455,3.797752721,2.115872266,0.967679398,1.426597222,2.39427662
X14_8_N_N_0,17.20043707,8.83,10.27,0.669,0.076,6.08,5.81,13.49,177.145,164.813,12.332,5,5.8,60.99,-0.87321,2.390861447,3.413402148,1.022540701,0.076938657,2.167326389,2.244265046
